Running Processes:
PID: 0, Name: System Idle Process, Username: NT AUTHORITY\SYSTEM
PID: 4, Name: System, Username: NT AUTHORITY\SYSTEM
PID: 100, Name: Registry, Username: None
PID: 448, Name: smss.exe, Username: None
PID: 520, Name: svchost.exe, Username: None
PID: 560, Name: fontdrvhost.exe, Username: None
PID: 656, Name: csrss.exe, Username: None
PID: 664, Name: svchost.exe, Username: None
PID: 740, Name: wininit.exe, Username: None
PID: 752, Name: WUDFHost.exe, Username: None
PID: 880, Name: services.exe, Username: None
PID: 892, Name: lsass.exe, Username: None
PID: 1004, Name: svchost.exe, Username: None
PID: 1016, Name: svchost.exe, Username: None
PID: 1048, Name: svchost.exe, Username: None
PID: 1100, Name: svchost.exe, Username: None
PID: 1112, Name: ctfmon.exe, Username: ASHISH\hp
PID: 1164, Name: svchost.exe, Username: None
PID: 1212, Name: Code.exe, Username: ASHISH\hp
PID: 1280, Name: svchost.exe, Username: None
PID: 1288, Name: svchost.exe, Username: None
PID: 1304, Name: chrome.exe, Username: ASHISH\hp
PID: 1320, Name: csrss.exe, Username: None
PID: 1360, Name: svchost.exe, Username: None
PID: 1368, Name: PresentationFontCache.exe, Username: None
PID: 1384, Name: IntelCpHDCPSvc.exe, Username: None
PID: 1416, Name: svchost.exe, Username: None
PID: 1488, Name: fontdrvhost.exe, Username: None
PID: 1492, Name: NisSrv.exe, Username: None
PID: 1504, Name: svchost.exe, Username: None
PID: 1560, Name: svchost.exe, Username: None
PID: 1688, Name: igfxCUIService.exe, Username: None
PID: 1732, Name: IntelCpHeciSvc.exe, Username: None
PID: 1744, Name: svchost.exe, Username: None
PID: 1780, Name: svchost.exe, Username: None
PID: 1896, Name: Code.exe, Username: ASHISH\hp
PID: 1904, Name: SynTPEnhService.exe, Username: None
PID: 1916, Name: svchost.exe, Username: None
PID: 1996, Name: svchost.exe, Username: None
PID: 2020, Name: svchost.exe, Username: None
PID: 2064, Name: svchost.exe, Username: None
PID: 2072, Name: svchost.exe, Username: None
PID: 2080, Name: svchost.exe, Username: None
PID: 2088, Name: svchost.exe, Username: None
PID: 2188, Name: svchost.exe, Username: None
PID: 2196, Name: svchost.exe, Username: None
PID: 2224, Name: svchost.exe, Username: None
PID: 2276, Name: MemCompression, Username: None
PID: 2324, Name: svchost.exe, Username: None
PID: 2348, Name: svchost.exe, Username: None
PID: 2420, Name: AnyDesk.exe, Username: ASHISH\hp
PID: 2640, Name: svchost.exe, Username: None
PID: 2712, Name: RtkAudioService64.exe, Username: None
PID: 2748, Name: svchost.exe, Username: None
PID: 2756, Name: svchost.exe, Username: None
PID: 2764, Name: svchost.exe, Username: None
PID: 2896, Name: svchost.exe, Username: None
PID: 2980, Name: svchost.exe, Username: None
PID: 3044, Name: svchost.exe, Username: None
PID: 3076, Name: wlanext.exe, Username: None
PID: 3096, Name: spoolsv.exe, Username: None
PID: 3104, Name: conhost.exe, Username: None
PID: 3164, Name: svchost.exe, Username: None
PID: 3200, Name: svchost.exe, Username: None
PID: 3240, Name: svchost.exe, Username: None
PID: 3316, Name: Code.exe, Username: ASHISH\hp
PID: 3388, Name: svchost.exe, Username: None
PID: 3396, Name: svchost.exe, Username: None
PID: 3404, Name: chrome.exe, Username: ASHISH\hp
PID: 3408, Name: svchost.exe, Username: None
PID: 3416, Name: svchost.exe, Username: None
PID: 3424, Name: svchost.exe, Username: None
PID: 3464, Name: AnyDesk.exe, Username: None
PID: 3472, Name: ibtsiva.exe, Username: None
PID: 3480, Name: OneApp.IGCC.WinService.exe, Username: None
PID: 3500, Name: python.exe, Username: ASHISH\hp
PID: 3516, Name: svchost.exe, Username: None
PID: 3532, Name: fodhelper.exe, Username: None
PID: 3564, Name: svchost.exe, Username: None
PID: 3584, Name: svchost.exe, Username: None
PID: 3596, Name: svchost.exe, Username: None
PID: 3604, Name: svchost.exe, Username: None
PID: 3636, Name: XtuService.exe, Username: None
PID: 3644, Name: svchost.exe, Username: None
PID: 3652, Name: armsvc.exe, Username: None
PID: 3660, Name: svchost.exe, Username: None
PID: 3668, Name: esif_uf.exe, Username: None
PID: 3696, Name: oracle.exe, Username: None
PID: 3732, Name: SebWindowsServiceWCF.exe, Username: None
PID: 3752, Name: svchost.exe, Username: None
PID: 3792, Name: RuntimeBroker.exe, Username: ASHISH\hp
PID: 3800, Name: LMS.exe, Username: None
PID: 3856, Name: svchost.exe, Username: None
PID: 3904, Name: svchost.exe, Username: None
PID: 3928, Name: svchost.exe, Username: None
PID: 3948, Name: dasHost.exe, Username: None
PID: 4056, Name: taskhostw.exe, Username: ASHISH\hp
PID: 4072, Name: MsMpEng.exe, Username: None
PID: 4236, Name: svchost.exe, Username: None
PID: 4452, Name: jhi_service.exe, Username: None
PID: 4460, Name: TiWorker.exe, Username: None
PID: 4484, Name: svchost.exe, Username: None
PID: 4540, Name: svchost.exe, Username: None
PID: 4548, Name: svchost.exe, Username: None
PID: 4572, Name: RuntimeBroker.exe, Username: ASHISH\hp
PID: 4624, Name: svchost.exe, Username: None
PID: 5080, Name: Code.exe, Username: ASHISH\hp
PID: 5096, Name: TabTip.exe, Username: ASHISH\hp
PID: 5564, Name: TextInputHost.exe, Username: ASHISH\hp
PID: 5592, Name: WmiPrvSE.exe, Username: None
PID: 5664, Name: SecurityHealthSystray.exe, Username: ASHISH\hp
PID: 5780, Name: smartscreen.exe, Username: ASHISH\hp
PID: 5980, Name: svchost.exe, Username: None
PID: 6012, Name: svchost.exe, Username: None
PID: 6220, Name: GoogleCrashHandler.exe, Username: None
PID: 6236, Name: GoogleCrashHandler64.exe, Username: None
PID: 6276, Name: BraveCrashHandler.exe, Username: None
PID: 6324, Name: BraveCrashHandler64.exe, Username: None
PID: 6448, Name: StartMenuExperienceHost.exe, Username: ASHISH\hp
PID: 6520, Name: WhatsApp.exe, Username: ASHISH\hp
PID: 6704, Name: SearchApp.exe, Username: ASHISH\hp
PID: 6804, Name: Code.exe, Username: ASHISH\hp
PID: 6868, Name: OneDrive.exe, Username: ASHISH\hp
PID: 7016, Name: svchost.exe, Username: None
PID: 7076, Name: reader_sl.exe, Username: ASHISH\hp
PID: 7128, Name: svchost.exe, Username: ASHISH\hp
PID: 7248, Name: SearchIndexer.exe, Username: None
PID: 7296, Name: chrome.exe, Username: ASHISH\hp
PID: 7472, Name: svchost.exe, Username: None
